"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1866355987986420101","Tue Dec 10 05:35:17 +0000 2024","713","Hi teman teman carats aku @cheollie_cherry (Mesa) mau bagi2 freebies set di konser &gt;&lt;! SEVENTEEN RIGHT HERE IN JAKARTA ️ Feb 8 &amp; 9 2024 JIS (exact location TBA) ⏰ TBA How to get? Check the poster ⬇️ #SEVENTEEN_RIGHT_HERE_IN_JAKARTA https://t.co/WrXfg6pef4","1866355987986420101","https://pbs.twimg.com/media/Geag3ASa0AAMtlI.jpg","","en","Seoul *o(≧▽≦)o* | @wonforcheol","18","44","510","https://x.com/cheollie_cherry/status/1866355987986420101","1302585582594318336","cheollie_cherry"
"1866424325676646484","Tue Dec 10 10:06:50 +0000 2024","8","Mau punya pengalaman maksimal nonton performance NCT DREAM yang meledak-ledak? Tonton di layar ScreenX yang bisa kasih kamu pengalaman nonton konser 270° Saksikan &lt;NCT DREAM Mystery Lab: DREAM( )SCAPE in Cinemas&gt; tayang terbatas mulai 14 Desember! Beli tiketnya di app &amp; web https://t.co/RoXfUvMk01","1866424325676646484","https://pbs.twimg.com/amplify_video_thumb/1866423578968895489/img/SMaNZ6MOmQLuSmaz.jpg","","in","Jakarta Capital Region, Indone","0","0","2","https://x.com/CGV_ID/status/1866424325676646484","15000492","CGV_ID"
"1864638846740111389","Thu Dec 05 11:51:59 +0000 2024","1216"," Gitmeyi bileceksin ne kadar çabalarsan çabala olmadığını anladığında gideceksin. O zaman sen kazanmış olacaksın. https://t.co/e29Sguz3Jz","1864638846740111389","https://pbs.twimg.com/media/GeCHJbGWoAAYfU-.jpg","","tr","","4","2","144","https://x.com/kesItlerefsanem/status/1864638846740111389","962055381169070080","kesItlerefsanem"
"1865500873108922778","Sat Dec 07 20:57:22 +0000 2024","1099","Benim kafayı toplayacak konser https://t.co/9H1MvYTx5q","1865500873108922778","https://pbs.twimg.com/ext_tw_video_thumb/1814679904748765184/pu/img/dHG-XUXq89FEcBHK.jpg","","tr","","11","9","136","https://x.com/mentalolarakk/status/1865500873108922778","1468873271470866436","mentalolarakk"
"1863518995963359593","Mon Dec 02 09:42:05 +0000 2024","1380","O dönemler ölümcül kolit hastalığıyla boğuşan Sertab Erener i hastanede ziyaret eden Sezen Aksu onu albümü bitirip Harbiye deki konsere çıkmaya ikna etti. Konser sırasında Sezen Aksu karanlığın içinden süzülerek sahneye katılır https://t.co/yH6g0uQGNE","1863518995963359593","https://pbs.twimg.com/ext_tw_video_thumb/1854530903239704584/pu/img/1tLjA0nUyz-4p-aq.jpg","","tr","","9","5","79","https://x.com/kesItlerefsanem/status/1863518995963359593","962055381169070080","kesItlerefsanem"
"1865729257206579435","Sun Dec 08 12:04:53 +0000 2024","1461","Terimakasih om @officialJKT48 see u konser anniv @C_OnielJKT48 https://t.co/e0FMwDtINF","1865729257206579435","https://pbs.twimg.com/media/GeRm3wsboAAxP3w.jpg","","in","Kota Surabaya, Jawa Timur","4","41","37","https://x.com/ysfakbr03/status/1865729257206579435","1179635138503663616","ysfakbr03"
"1864313099785773526","Wed Dec 04 14:17:34 +0000 2024","41133","biz ustumuze duseni yaptik simdi cikip son kez konser veriyorsun.","1864313099785773526","","","tr","🦅🤍","30","34","910","https://x.com/leonunevreni/status/1864313099785773526","1681769416961187840","leonunevreni"
"1863379396565819848","Mon Dec 02 00:27:22 +0000 2024","109","Emir Can İğrek akustik konser versin ! https://t.co/Kl46IYybU3","1863379396565819848","https://pbs.twimg.com/ext_tw_video_thumb/1800127007139024896/pu/img/lmvvYVsx7-mMseZN.jpg","","tr","","1","1","1","https://x.com/senegeegemisin/status/1863379396565819848","1070910892370477056","senegeegemisin"
"1864269330458005781","Wed Dec 04 11:23:39 +0000 2024","2906","-jn ini gambaran jeno manggung pas konser solo *manifesting* https://t.co/H7YCvJcICn","1864269330458005781","https://pbs.twimg.com/amplify_video_thumb/1786357324036317184/img/EhhwIqIROjXkXDLf.jpg","","in","s.id/JenoFess ","27","7","598","https://x.com/JenoFess/status/1864269330458005781","1265551150960558081","JenoFess"
"1866458209638285346","Tue Dec 10 12:21:28 +0000 2024","4","Menemani si kakak yang jadi panitia konser ㅡ #lavencinna https://t.co/kMOAtxDPqu","1866458209638285346","https://pbs.twimg.com/media/Geb92ZPasAAulbZ.jpg","","in","writing and edit acc","3","0","3","https://x.com/oktanaa/status/1866458209638285346","1369828095868334080","oktanaa"
